N N N N N N N N N N N N N N N N N N N N N N N N N N N N
N N N N N N N N N N N N N N N N N N N N N N N S N N N N
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 + - - - - - - - - - - | 0 0 | - - - - - - - - - - + 0
0 | 0 0 0 0 | 0 0 0 0 0 | 0 0 | 0 0 0 0 0 | 0 0 0 0 | 0
0 | 0 0 0 0 | 0 0 0 0 0 | 0 0 | 0 0 0 0 0 | 0 0 0 0 | 0
0 | 0 0 0 0 | 0 0 0 0 0 | 0 0 | 0 0 0 0 0 | 0 0 0 0 | 0
0 | - - - - - - - - - - - - - - - - - - - - - - - - | 0
0 | 0 0 0 0 | 0 0 | 0 0 0 0 0 0 0 0 | 0 0 | 0 0 0 0 | 0
0 | 0 0 0 0 | 0 0 | 0 0 0 0 0 0 0 0 | 0 0 | 0 0 0 0 | 0
0 | - - - - | 0 0 + - - - 0 0 - - - + 0 0 | - - - - | 0
0 0 0 0 0 0 | 0 0 0 0 0 | 0 0 | 0 0 0 0 0 | 0 0 0 0 0 0
0 0 0 0 0 0 | 0 0 0 0 0 | 0 0 | 0 0 0 0 0 | 0 0 0 0 0 0
0 0 0 0 0 0 | 0 0 n n n n E n n n n n 0 0 | 0 0 0 0 0 0
0 0 0 0 0 0 | 0 0 | 0 0 0 G G 0 0 0 | 0 0 | 0 0 0 0 0 0
0 0 0 0 0 0 | 0 0 | 0 n n n n n n 0 | 0 0 | 0 0 0 0 0 0
N N N N - - | - - | 0 n B R V O n 0 | - - | - - N N N N
0 0 0 0 0 0 | 0 0 | 0 n n n n n n 0 | 0 0 | 0 0 0 0 0 0
0 0 0 0 0 0 | 0 0 | 0 0 0 0 0 0 0 0 | 0 0 | 0 0 0 0 0 0
0 0 0 0 0 0 | 0 0 | - - - - - - - - | 0 0 | 0 0 0 0 0 0
0 0 0 0 0 0 | 0 0 | 0 0 0 0 0 0 0 0 | 0 0 | 0 0 0 0 0 0
0 0 0 0 0 0 | 0 0 | 0 0 0 0 0 0 0 0 | 0 0 | 0 0 0 0 0 0
0 + - - - - | - - - - - - 0 0 - - - - - - | - - - - + 0
0 | 0 0 0 0 | 0 0 0 0 0 | 0 0 | 0 0 0 0 0 | 0 0 0 0 | 0
0 | 0 0 0 0 | 0 0 0 0 0 | 0 0 | 0 0 0 0 0 | 0 0 0 0 | 0
0 | - | 0 0 | - - - - - - P - - - - - - - | 0 0 | - | 0
0 0 0 | 0 0 | 0 0 | 0 0 0 0 0 0 0 0 | 0 0 | 0 0 | 0 0 0
0 0 0 | 0 0 | 0 0 | 0 0 0 0 0 0 0 0 | 0 0 | 0 0 | 0 0 0
0 | - - - - | 0 0 + - - | 0 0 | - - + 0 0 | - - - - | 0
0 | 0 0 0 0 0 0 0 0 0 0 | 0 0 | 0 0 0 0 0 0 0 0 0 0 | 0
0 | 0 0 0 0 0 0 0 0 0 0 | 0 0 | 0 0 0 0 0 0 0 0 0 0 | 0
0 | - - - - - - - - - - - - - - - - - - - - - - - - | 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
